id,domain,channel,message,subject,intent,issue,technique,phishing,sender,label
372b51a5-fa19-4a31-a4b8-a21de117d75e,E-commerce/Retail,Inbound,Very good,,Exchange / Replacement,Exchange / Replacement - Very good,,False,,customer_support
6e4413db-4e16-42fc-ac92-2f402e3df03c,E-commerce/Retail,Inbound,Shopzilla app and it's all coustomer care services is very good service provided all time,,Missing,Missing - Shopzilla app and it's all coustomer care services is very good service provided all time,,False,,customer_support
4c28acf4-2ea4-4be8-b8f1-113e676fc8b7,E-commerce/Retail,Inbound,Very bad,,Delayed,Delayed - Very bad,,False,,customer_support
c54459b3-ffb3-4ffa-a338-6fd179beb6b1,E-commerce/Retail,Inbound,Something,,Installation/demo,Installation/demo - Something ,,False,,customer_support
6e51734e-9627-4a12-8062-877c3638627d,E-commerce/Retail,Inbound,All good,,Installation/demo,Installation/demo - All good,,False,,customer_support
00df431a-b184-417a-ae49-c4feb6bd00bb,E-commerce/Retail,Inbound,Good,,Return request,Return request - Good ,,False,,customer_support
3cc96e2f-74b4-4f5b-a4d5-9bf16ae14975,Banking/Finance,Inbound,Godd job,,Payment related Queries,Payment related Queries - Godd job,,False,,customer_support
c0edcb0a-cfa8-4f35-86ad-88c9f6b47290,Telecom,Inbound,Issue not resolved pathetic service,,Order status enquiry,Order status enquiry - Issue not resolved pathetic service,,False,,customer_support
867c2b1d-3b4f-4434-87e0-125af687dc4a,E-commerce/Retail,Inbound,Excellent,,Fraudulent User,Fraudulent User - Excellent ,,False,,customer_support
93c9b522-8046-4a69-82ad-96784b6d3fce,Other,Inbound,Very good,,Return cancellation,Return cancellation - Very good ,,False,,customer_support
0644deaa-8ff7-4ddf-baf7-5964da879d1b,E-commerce/Retail,Inbound,Give proper guidance to the customer,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Give proper guidance to the customer ,,False,,customer_support
39fb5940-dffe-49bf-8f9b-936cb1994152,E-commerce/Retail,Inbound,Please highlight if the products cannot be returned.,,Unable to track,Unable to track - Please highlight if the products cannot be returned.,,False,,customer_support
b18b603b-2f31-49e5-8e68-64010c1c5674,E-commerce/Retail,Outcall,3000 rupees loss,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - 3000 rupees loss ,,False,,customer_support
95763fca-68b8-4651-bbff-6c46a5fa935e,E-commerce/Retail,Outcall,Please don't sale any destroy product or cheep product more price.,,Installation/demo,Installation/demo - Please don't sale any destroy product or cheep product more price. ,,False,,customer_support
3205034e-38b5-4afc-adb7-2736a63943a5,E-commerce/Retail,Inbound,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,,Order status enquiry,Order status enquiry - I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was pol,,False,,customer_support
5deed8bc-e04b-4c67-947f-eef58c70186e,E-commerce/Retail,Inbound,No comments,,Installation/demo,Installation/demo - No comments ,,False,,customer_support
32a24547-ac59-4ea5-8cbe-e9b8b4f0f1ad,E-commerce/Retail,Inbound,good ????,,Reverse Pickup Enquiry,Reverse Pickup Enquiry -   good ????,,False,,customer_support
4e4b10b7-70a9-4ace-9f82-b1bf18b3d9c9,E-commerce/Retail,Inbound,customer service number plz available,,Wrong,Wrong - customer service number plz available,,False,,customer_support
5dc8173a-6a43-44bf-851a-1120e1ed11c3,E-commerce/Retail,Inbound,Good,,Return request,Return request - Good,,False,,customer_support
ee3ab837-88d4-44f2-a42b-d11aa4454d44,E-commerce/Retail,Inbound,Respectful,,Order status enquiry,Order status enquiry - Respectful ,,False,,customer_support
8518e776-fc14-4ba7-a585-42714d640856,Other,Inbound,Very nice good,,Product Specific Information,Product Specific Information - Very nice good,,False,,customer_support
3275f3a2-3e6e-427f-afe7-2581d5fff9a8,E-commerce/Retail,Inbound,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue,,Service Centres Related,Service Centres Related - Even the guarantee period also you have to contact the supplier to reduce the duration of resolve th,,False,,customer_support
37875567-db26-40a1-af6d-05afa62a442e,E-commerce/Retail,Outcall,Thanks,,Fraudulent User,Fraudulent User - Thanks ,,False,,customer_support
c32c456b-0cd0-4659-9449-9fa8cb517944,E-commerce/Retail,Inbound,Try to deliver the product on time,,Delayed,Delayed - Try to deliver the product on time ,,False,,customer_support
d3024d01-3f0c-4e6c-9625-705b3210a30b,E-commerce/Retail,Outcall,Nice conversation good I will give rating for ?????,,Wrong,Wrong - Nice conversation good I will give rating for ?????,,False,,customer_support
a364f9ba-1ed8-48ed-94a0-25fd53394d16,E-commerce/Retail,Inbound,Keep it up Shopzilla,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Keep it up Shopzilla ,,False,,customer_support
5d26cd4c-8de5-49a0-91aa-28afd43c6f82,E-commerce/Retail,Inbound,I am so happy,,Missing,Missing - I am so happy ,,False,,customer_support
5da0e227-ff4d-4ab5-9838-0aedd8feed2c,Banking/Finance,Inbound,Very bad agent,,Refund Related Issues,Refund Related Issues - Very bad agent,,False,,customer_support
da698468-225c-425a-8d0e-3147f4b3d389,E-commerce/Retail,Outcall,Ok,,Order status enquiry,Order status enquiry - Ok,,False,,customer_support
1e58d8a4-0f81-45c9-b0e1-8db4bdc4386f,E-commerce/Retail,Inbound,Should take action fast..thank u,,Technician Visit,Technician Visit - Should take action fast..thank u,,False,,customer_support
2bdf6423-7744-4a3d-a4f2-a82dea562ddc,E-commerce/Retail,Inbound,Good talk,,Return request,Return request - Good talk,,False,,customer_support
1622eeae-67aa-466b-b9f8-c8c14f321f15,E-commerce/Retail,Inbound,The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.,,UnProfessional Behaviour,UnProfessional Behaviour - The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind o,,False,,customer_support
e4167617-b033-480e-9be9-f9de981f7912,E-commerce/Retail,Inbound,"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Please pack the products which actually customers ordered, otherwise it is time to both you and us S",,False,,customer_support
ed76a9bb-ca9f-4c82-a371-6248f4a0cc15,Other,Inbound,Thanks,,General Enquiry,General Enquiry - Thanks ,,False,,customer_support
a509ca1b-83f0-40af-8dd5-d16ff55f9384,Banking/Finance,Inbound,????,,Refund Related Issues,Refund Related Issues - ????,,False,,customer_support
6569ea39-60da-4dfa-aec3-d04d69f0566c,Other,Inbound,Mr   was very helpful,,Not Needed,Not Needed - Mr   was very helpful ,,False,,customer_support
459de96d-1805-4bf5-ab36-d2a16dc682a3,E-commerce/Retail,Inbound,"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",,Damaged,"Damaged - Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the l",,False,,customer_support
73ddcafe-dd8b-4941-8da1-635c00ef3423,Telecom,Inbound,Good,,Wrong,Wrong - Good ,,False,,customer_support
14441926-8809-4289-b54a-2f3a46158c48,E-commerce/Retail,Inbound,Thankyou,,Return request,Return request - Thankyou ,,False,,customer_support
5acfc9ae-fa0d-4a24-a03e-bef0f5e8cd44,E-commerce/Retail,Inbound,I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,,Order status enquiry,Order status enquiry - I selected for English language preference but it's goes into Hindi channel. But customer service ex,,False,,customer_support
e2b9ec67-e370-418c-bcf6-65aa77299ee1,E-commerce/Retail,Inbound,Nice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice ,,False,,customer_support
cbbf5aab-ed28-4884-88a8-991c8a1ab8a6,E-commerce/Retail,Inbound,"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving ",,False,,customer_support
d5de35d1-c30f-4989-bcaa-5f7b102f7df5,E-commerce/Retail,Outcall,Thank you   for your valuable time & support,,Wrong,Wrong - Thank you   for your valuable time & support ,,False,,customer_support
e5798450-8f6e-47cd-b3e1-1925e2ea8b64,E-commerce/Retail,Inbound,Good night,,Order status enquiry,Order status enquiry - Good night,,False,,customer_support
76c9e90a-9727-4caf-89a6-28f695795193,E-commerce/Retail,Inbound,No,,Fraudulent User,Fraudulent User - No,,False,,customer_support
c75c5199-966e-46b0-ae7a-0c9014afef12,E-commerce/Retail,Inbound,Thank you so much,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you so much ,,False,,customer_support
796fe7f6-eec2-4713-9ecb-27ca7a000ee6,E-commerce/Retail,Inbound,?? no,,Service Centres Related,Service Centres Related - ?? no,,False,,customer_support
