message,subject,complaint_text,intent,category
Shopzilla app and it's all coustomer care services is very good service provided all time,,Shopzilla app and it's all coustomer care services is very good service provided all time,Missing,PRODUCT_ISSUE
Very bad,,Very bad,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Return request,REFUND_REQUEST
Godd job,,Godd job,Payment related Queries,PAYMENT_TRANSACTION_ISSUE
Excellent,,Excellent,Fraudulent User,SECURITY_CONCERN
Give proper guidance to the customer,,Give proper guidance to the customer,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please highlight if the products cannot be returned.,,Please highlight if the products cannot be returned.,Unable to track,DELIVERY_SHIPPING_PROBLEM
3000 rupees loss,,3000 rupees loss,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please don't sale any destroy product or cheep product more price.,,Please don't sale any destroy product or cheep product more price.,Installation/demo,PRODUCT_ISSUE
good ????,,good ????,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Return request,REFUND_REQUEST
Respectful,,Respectful,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue,,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue,Service Centres Related,SERVICE_QUALITY
Thanks,,Thanks,Fraudulent User,SECURITY_CONCERN
Try to deliver the product on time,,Try to deliver the product on time,Delayed,DELIVERY_SHIPPING_PROBLEM
Nice conversation good I will give rating for ?????,,Nice conversation good I will give rating for ?????,Wrong,PRODUCT_ISSUE
Keep it up Shopzilla,,Keep it up Shopzilla,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am so happy,,I am so happy,Missing,PRODUCT_ISSUE
Ok,,Ok,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Should take action fast..thank u,,Should take action fast..thank u,Technician Visit,PRODUCT_ISSUE
Good talk,,Good talk,Return request,REFUND_REQUEST
"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",,"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,General Enquiry,OTHER
????,,????,Refund Related Issues,REFUND_REQUEST
Good,,Good,Wrong,PRODUCT_ISSUE
Thankyou,,Thankyou,Return request,REFUND_REQUEST
